project_id,deployment_id,subproject_name,subproject_design,placename,longitude,latitude,start_date,end_date,event_name,event_description,event_type,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,recorded_by,plot_treatment,plot_treatment_description,detection_distance
"Please delete rows 2-6 before uploading as these are the guidelines for completing the template. If a field is required, it is marked by ""Yes"" in row 3. Definitions are provided in row 4. Default values are listed in row 5. Accepted values and/or formats are defined in row 6.",,,,,,,,,,,,,,,,,,,,,,,,,,
Required: Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Definitions: An identification for the project.,Unique identifier for the camera deployment (within the project),A name for a logical grouping of deployments within a project. ,Text field to describe subproject design methods.,Unique identifier for the location of a camera deployment. The placename must be unique within the project.,Longitude of Deployment Location (placename) in decimal degrees using datum WGS84. Minimum 4 decimal degrees and maximum 8 decimal degrees.,Latitude of Deployment Location (placename) in decimal degrees using datum WGS84. Minimum 4 decimal degrees and maximum 8 decimal degrees.,The date the camera was activated and starting recorded observations. This also marks the date a new SD card was inserted into a camera that is continuously operating.,The date the camera was picked up OR the date the SD card was retrieved.,"Camera trap arrays can be grouped into sampling ‘events’ (not to be confused with events of animal detection by camera traps). There are many uses for an event and it is designed to be flexibly used.  Common events could be seasons (wet and dry), months, years or other types of logical groupings",A description that defines the events.,"A broader category for types of events. For example, some projects may put sensors out using different sampling designs in the wet season vs the dry season. This is a 'Temporal' event type and will make grouping data together for data management.",Type of bait (if any) that was used with camera. Select one option only.,Text field to describe baiting method and Other Bait type if necessary. This field should be left empty if Bait Type=None,Type of feature (if any) that camera deployment is associated with. Select one option only.,Text field to describe the feature type methodology,"Identifier for the camera used for the deployment.In your download file, this is equivalent to the camera_name field",Time specified between shutter triggers when activity in the sensor will not trigger the shutter. Specified in seconds.,Details the status of the camera. ,What height were generally used to deploy the sensor?,"If sensor_height=""other"", please describe here",What angle were generally used to deploy the sensor?,"If sensor_orientation= ""other"", please describe",The person installing the camera,"A parcel of land defined by a specific function, property, or purpose. Examples include types of agriculture and different stages of controlled burns.",General description of the plot treatment,"Maximum distance at which a camera triggered, as tested during deployment, measured in meters"
Default value,,None,,,,,,,None,,None,,,,,,0,Camera Functioning,,Knee height,Parallel,,,,,
Accepted values and/or formats,,,,,,,(yyyy-mm-dd hh:mm:ss),(yyyy-mm-dd hh:mm:ss),,,"None, Temporal, Spatial, Both","None, Scent, Meat, Visual, Acoustic, Other",,"None, Road paved, Road dirt, Trail hiking, Trail game, Road underpass, Road overpass, Road bridge, Culvert, Burrow, Nest site, Carcass, Water source, Fruiting tree, Other ",,,,"Camera Functioning,Unknown Failure,Vandalism,Theft,Memory Card,Film Failure,Camera Hardware Failure,Wildlife Damage","Chest height, Knee height, Canopy,Unknown, Other ",free text only when 'other' selected for Height,"Parallel, Pointed Downward, Varies, Unknown,Other",free text only when 'other' selected for Angle,,,,
