"unique_file","site","trap_location","camera_type","date","time","species","id_certainty_1_3","animal_behaviour_in_view","comments","CamId","DateTime","DateTimeOriginal","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","n_images"
"IMG0337",7,"6","Reconyx","27/07/2022","8:01:22","Brush Turkey",3,"","","7_6","27/07/2022 8:01:22","2022-07-27 08:01:22",0,0,0,0,1
"IMAG0032",7,"3","Scoutguard","29/07/2019","17:23:00","Eopsaltria australis",2,"Hops around outside of trap","","7_3","29/07/2019 17:23:00","2019-07-29 17:23:00",0,0,0,0,1
"IMAG0046",7,"Cage","Scoutguard","25/07/2018","21:51:00","Felis catus",3,"Enters most of body into cage, scares itself and causes trap to shut","","7_Cage","25/07/2018 21:51:00","2018-07-25 21:51:00",0,0,0,0,1
"IMG_0054",7,"22","Reconyx ","25/07/2022","3:59:00","Human",3,"","End of sequence, triggered by person","7_22","25/07/2022 3:59:00","2022-07-25 03:59:00",0,0,0,0,1
"IMG_0073",7,"22","Reconyx ","26/07/2022","9:31:00","Human",3,"","person trigger, start of sequence ","7_22","26/07/2022 9:31:00","2022-07-26 09:31:00",106320,1772,29.5,1.2,1
"IMG_0047",7,"18","Reconyx ","26/07/2022","10:10:00","Human",3,"","person trigger, start of sequence ","7_18","26/07/2022 10:10:00","2022-07-26 10:10:00",0,0,0,0,1
"IMG_0123",7,"22","Reconyx ","27/07/2022","9:57:00","Human",3,"","person trigger, end of sequence ","7_22","27/07/2022 9:57:00","2022-07-27 09:57:00",87960,1466,24.4,1,1
"IMG_0138",7,"18","Reconyx ","27/07/2022","10:00:00","Human",3,"","trigged by person ","7_18","27/07/2022 10:00:00","2022-07-27 10:00:00",85800,1430,23.8,1,1
"IMG_0088",7,"14","Reconyx","25/07/2018","6:54:00","Isoodon macrourus",2,"Side on view, runs around the trap","","7_14","25/07/2018 6:54:00","2018-07-25 06:54:00",0,0,0,0,1
"IMAG0016",7,"22","Scoutguard","31/07/2019","11:50:00","Macropus rufogriseus",3,"Stands looking at trap","","7_22","31/07/2019 11:50:00","2019-07-31 11:50:00",0,0,0,0,1
"IMG0203",7,"6","Reconyx","25/07/2022","7:38:54","Menura novaehollandiae",3,"","","7_6","25/07/2022 7:38:54","2022-07-25 07:38:54",0,0,0,0,1
"IMG_0008",7,"3","Reconyx","25/07/2022","17:17:00","Orthonyx temminckii",3,"Australian logrunner - hopping at base of tree, ran off suddenly before returning","","7_3","25/07/2022 17:17:00","2022-07-25 17:17:00",0,0,0,0,1
"IMG_0032",7,"14","Reconyx","25/07/2018","4:33:00","Rattus fuscipes",3,"Looks into the camera, enters trap","","7_14","25/07/2018 4:33:00","2018-07-25 04:33:00",0,0,0,0,1
"IMG_0108",7,"14","Reconyx","26/07/2018","2:37:00","Rattus fuscipes",3,"Runs around the trap and enters trap, curious about the camera","","7_14","26/07/2018 2:37:00","2018-07-26 02:37:00",79440,1324,22.1,0.9,1
"IMG_0055",7,"22","Reconyx","26/07/2018","3:42:00","Rattus fuscipes",3,"Predominately still, moves head to look around","","7_22","26/07/2018 3:42:00","2018-07-26 03:42:00",0,0,0,0,1
"IMG_0164",7,"14","Reconyx","26/07/2018","5:12:00","Rattus fuscipes",2,"Hides under the log","","7_14","26/07/2018 5:12:00","2018-07-26 05:12:00",9300,155,2.6,0.1,1
"IMG_0141",7,"14","Reconyx","26/07/2018","22:04:00","Rattus fuscipes",2,"Hides under the log","","7_14","26/07/2018 22:04:00","2018-07-26 22:04:00",60720,1012,16.9,0.7,1
"IMAG0034",7,"3","Scoutguard","29/07/2019","19:34:00","Rattus fuscipes",3,"Ran across camera view","","7_3","29/07/2019 19:34:00","2019-07-29 19:34:00",0,0,0,0,1
"IMAG0025",7,"14","Scoutguard","31/07/2019","1:29:00","Rattus fuscipes",2,"Moves into trap, trap not triggered.","","7_14","31/07/2019 1:29:00","2019-07-31 01:29:00",31893900,531565,8859.4,369.1,1
"IMAG0014",7,"Cage","Scoutguard","31/07/2019","20:02:00","Rattus fuscipes",3,"Sits on top of open cage, and explores around, enters trap","","7_Cage","31/07/2019 20:02:00","2019-07-31 20:02:00",0,0,0,0,1
"IMAG0097",7,"3","Scoutguard","31/07/2019","21:24:00","Rattus fuscipes",3,"Enters trap, explores around, does not trigger trap","","7_3","31/07/2019 21:24:00","2019-07-31 21:24:00",179400,2990,49.8,2.1,1
"IMAG0123",7,"3","Scoutguard","31/07/2019","23:27:00","Rattus fuscipes",3,"Enters trap, does not trigger trap.","","7_3","31/07/2019 23:27:00","2019-07-31 23:27:00",7380,123,2,0.1,1
"IMG0197",7,"6","Reconyx","25/07/2022","11:53:00","Rattus fuscipes",2,"Moving across image","","7_6","25/07/2022 11:53:00","2022-07-25 11:53:00",0,0,0,0,6
"IMG_0055",7,"22","Reconyx ","25/07/2022","19:52:00","Rattus fuscipes",3,"Eye detected, moving to tree stump ","","7_22","25/07/2022 19:52:00","2022-07-25 19:52:00",126202200,2103370,35056.2,1460.7,1
"IMG_0061",7,"22","Reconyx ","25/07/2022","19:59:00","Rattus fuscipes",3,"Bush rat back on tree stump","","7_22","25/07/2022 19:59:00","2022-07-25 19:59:00",420,7,0.1,0,4
"IMG_0001",7,"18","Reconyx ","25/07/2022","21:54:00","Rattus fuscipes",3,"investigating Trap","start of sequence ","7_18","25/07/2022 21:54:00","2022-07-25 21:54:00",0,0,0,0,1
"IMG_0051",7,"18","Reconyx ","26/07/2022","19:15:00","Rattus fuscipes",3,"Investigating trap, start of sequence ","","7_18","26/07/2022 19:15:00","2022-07-26 19:15:00",76860,1281,21.4,0.9,2
"IMG_0129",7,"18","Reconyx ","27/07/2022","5:35:00","Rattus fuscipes",2,"moving around trap ","","7_18","27/07/2022 5:35:00","2022-07-27 05:35:00",37200,620,10.3,0.4,1
"IMG_0135",7,"18","Reconyx ","27/07/2022","5:47:00","Rattus fuscipes",2,"at edge of screen ","","7_18","27/07/2022 5:47:00","2022-07-27 05:47:00",720,12,0.2,0,1
"IMG_0002",7,"3","Reconyx","25/07/2022","15:27:00","Sericornis frontalis",3,"White-browed scrubwren - hopping at base of tree","","7_3","25/07/2022 15:27:00","2022-07-25 15:27:00",0,0,0,0,1
"IMAG0191",7,"6","Scoutguard","30/07/2019","20:13:00","Trichosurus vulpecula",3,"Runs past trap","","7_6","30/07/2019 20:13:00","2019-07-30 20:13:00",0,0,0,0,1
"IMG_0047.JPG",7,"9","Reconyx ","25/07/2022","20:05:05","Trichosurus vulpecula",3,"face (nose, eyes and ears) of animal first appear bottom left of field of view","","7_9","25/07/2022 20:05:05","2022-07-25 20:05:05",0,0,0,0,30
"IMG_0157.JPG",7,"9","Reconyx ","25/07/2022","20:13:21","Trichosurus vulpecula",3,"possum continues inspecting but eventually gives up","","7_9","25/07/2022 20:13:21","2022-07-25 20:13:21",496,8.3,0.1,0,1
"IMG_0170.JPG",7,"9","Reconyx ","26/07/2022","5:25:18","unknown rodent",1,"appears bottom left of field of view and then disappears. sus Antechinus stuartii","","7_9","26/07/2022 5:25:18","2022-07-26 05:25:18",0,0,0,0,1
"IMAG0028.JPG",8,"Cage","Scoutguard","1/08/2019","3:08:00","Antechinus stuartii",2,"Enters trap, but does not trigger mechanism","","8_Cage","1/08/2019 3:08:00","2019-08-01 03:08:00",0,0,0,0,1
"",8,"9","Reconyx","25/07/2018","11:28:00","Lichenostomus melanops",3,"Standing in front of camera","","8_9","25/07/2018 11:28:00","2018-07-25 11:28:00",0,0,0,0,1
"IMAG0046.AVI",8,"Cage","Scoutguard","26/07/2018","12:02:00","Menura novaehollandiae",3,"Explores area around the trap","","8_Cage","26/07/2018 12:02:00","2018-07-26 12:02:00",0,0,0,0,1
"",8,"9","Reconyx","25/07/2018","12:10:00","Pomatostomus superciliosus",2,"Exploring ground around trap","","8_9","25/07/2018 12:10:00","2018-07-25 12:10:00",0,0,0,0,1
"",8,"3","Reconyx","23/07/2018","22:22:17","Rattus fuscipes",3,"Exploring trap, didn't enter","","8_3","23/07/2018 22:22:17","2018-07-23 22:22:17",0,0,0,0,1
"",8,"3","Reconyx","23/07/2018","23:38:25","Rattus fuscipes",3,"Exploring trap, didn't enter","","8_3","23/07/2018 23:38:25","2018-07-23 23:38:25",4568,76.1,1.3,0.1,1
"",8,"3","Reconyx","24/07/2018","2:22:11","Rattus fuscipes",2,"Entered field of view but did not inspect trap","","8_3","24/07/2018 2:22:11","2018-07-24 02:22:11",9826,163.8,2.7,0.1,1
"",8,"3","Reconyx","24/07/2018","19:26:33","Rattus fuscipes",3,"Explores areas for several minutes, stands on top of trap","","8_3","24/07/2018 19:26:33","2018-07-24 19:26:33",61462,1024.4,17.1,0.7,1
"",8,"3","Reconyx","25/07/2018","1:43:59","Rattus fuscipes",3,"Explores area","","8_3","25/07/2018 1:43:59","2018-07-25 01:43:59",22646,377.4,6.3,0.3,1
"IMAG0015.AVI",8,"Cage","Scoutguard","25/07/2018","2:08:00","Rattus fuscipes",3,"Explores trap but bites the bag","","8_Cage","25/07/2018 2:08:00","2018-07-25 02:08:00",0,0,0,0,3
"IMAG0018.AVI",8,"Cage","Scoutguard","25/07/2018","2:14:00","Rattus fuscipes",3,"Enters trap, eats, but does not trigger mechanism","","8_Cage","25/07/2018 2:14:00","2018-07-25 02:14:00",360,6,0.1,0,2
"IMAG0020.AVI",8,"Cage","Scoutguard","25/07/2018","2:34:00","Rattus fuscipes",3,"Explores area","","8_Cage","25/07/2018 2:34:00","2018-07-25 02:34:00",1200,20,0.3,0,2
