project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by
2004409,S02_T14_2023,S02_T14,151.7387333,-32.2405,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085473,S02_T14,0,Camera Functioning,Knee height,,Parallel,,,,,Site_02,,,,,
2004409,S01_T14_2023,S01_T14,151.733535,-32.23854833,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085463,S01_T14,0,Camera Functioning,Knee height,,Parallel,,,,,Site_01,,,,,
2004409,S04_T02_2023,S04_T02,151.7452,-32.2443,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085490,S04_T02,0,Camera Functioning,Knee height,,Parallel,,,,,Site_04,,,,,
2004409,S05_T06_2023,S05_T06,151.7513317,-32.24667833,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085504,S05_T06,0,Camera Functioning,Knee height,,Parallel,,,,,Site_05,,,,,
2004409,S01_T10_2023,S01_T10,151.7345,-32.23898333,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085461,S01_T10,0,Camera Functioning,Knee height,,Parallel,,,,,Site_01,,,,,
2004409,S04_T14_2023,S04_T14,151.7462,-32.2443,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085496,S04_T14,0,Camera Functioning,Knee height,,Parallel,,,,,Site_04,,,,,
2004409,S05_T10_2023,S05_T10,151.751655,-32.24666167,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085506,S05_T10,0,Camera Functioning,Knee height,,Parallel,,,,,Site_05,,,,,
2004409,S04_T12_2023,S04_T12,151.7458,-32.2437,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085495,S04_T12,0,Camera Functioning,Knee height,,Parallel,,,,,Site_04,,,,,
2004409,S03_T16_2023,S03_T16,151.7399,-32.24238333,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085485,S03_T16,0,Camera Functioning,Knee height,,Parallel,,,,,Site_03,,,,,
2004409,S01_T12_2023,S01_T12,151.7345833,-32.23945,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085462,S01_T12,0,Camera Functioning,Knee height,,Parallel,,,,,Site_01,,,,,
